RoleDisplayName,Permission,RoleType
Attribute Definition Reader,microsoft.directory/customSecurityAttributeDefinitions/allProperties/read,Built-in
Attribute Log Administrator,microsoft.azure.customSecurityAttributeDiagnosticSettings/allEntities/allProperties/allTasks,Built-in
Attribute Log Administrator,microsoft.directory/customSecurityAttributeAuditLogs/allProperties/read,Built-in
Attribute Log Reader,microsoft.directory/customSecurityAttributeAuditLogs/allProperties/read,Built-in
Attribute Provisioning Administrator,microsoft.directory/servicePrincipals/synchronization.customSecurityAttributes/schema/read,Built-in
Attribute Provisioning Administrator,microsoft.directory/servicePrincipals/synchronization.customSecurityAttributes/schema/update,Built-in
Attribute Provisioning Reader,microsoft.directory/servicePrincipals/synchronization.customSecurityAttributes/schema/read,Built-in
Authentication Administrator,microsoft.azure.serviceHealth/allEntities/allTasks,Built-in
Authentication Administrator,microsoft.azure.supportTickets/allEntities/allTasks,Built-in
Authentication Administrator,microsoft.directory/deletedItems.users/restore,Built-in
Authentication Administrator,microsoft.directory/users/authenticationMethods/basic/update,Built-in
Authentication Administrator,microsoft.directory/users/authenticationMethods/create,Built-in
Authentication Administrator,microsoft.directory/users/authenticationMethods/delete,Built-in
Authentication Administrator,microsoft.directory/users/authenticationMethods/standard/restrictedRead,Built-in
Authentication Administrator,microsoft.directory/users/basic/update,Built-in
Authentication Administrator,microsoft.directory/users/delete,Built-in
Authentication Administrator,microsoft.directory/users/disable,Built-in
Authentication Administrator,microsoft.directory/users/enable,Built-in
Authentication Administrator,microsoft.directory/users/invalidateAllRefreshTokens,Built-in
Authentication Administrator,microsoft.directory/users/manager/update,Built-in
Authentication Administrator,microsoft.directory/users/password/update,Built-in
Authentication Administrator,microsoft.directory/users/restore,Built-in
Authentication Administrator,microsoft.directory/users/userPrincipalName/update,Built-in
Authentication Administrator,microsoft.office365.serviceHealth/allEntities/allTasks,Built-in
Authentication Administrator,microsoft.office365.supportTickets/allEntities/allTasks,Built-in
Authentication Administrator,microsoft.office365.webPortal/allEntities/standard/read,Built-in
Authentication Extensibility Administrator,microsoft.directory/customAuthenticationExtensions/allProperties/allTasks,Built-in
Authentication Extensibility Password Administrator,microsoft.directory/onPasswordSubmitCustomAuthenticationExtension/allProperties/allTasks,Built-in
Authentication Policy Administrator,microsoft.azure.supportTickets/allEntities/allTasks,Built-in
Authentication Policy Administrator,microsoft.directory/organization/strongAuthentication/allTasks,Built-in
Authentication Policy Administrator,microsoft.directory/userCredentialPolicies/basic/update,Built-in
Authentication Policy Administrator,microsoft.directory/userCredentialPolicies/create,Built-in
Authentication Policy Administrator,microsoft.directory/userCredentialPolicies/delete,Built-in
